Road Name,Point 1 Latitude,Point 1 Longitude,Point 2 Latitude,Point 2 Longitude,Point 3 Latitude,Point 3 Longitude,Point 4 Latitude,Point 4 Longitude
Madrasa Road,23.793188367283918,90.35967530648117,23.793167497399153,90.35969006487386,23.79319867946107,90.35977163853528,23.793232071267127,90.35976707685023
Madrasa Road,23.793289279267825,90.35988299731639,23.79326767281556,90.35990848908557,23.793313832050117,90.35991922246211,23.793290261379212,90.35994981258511
Madrasa Road,23.79328485976653,90.35988192397878,23.79326546306457,90.35990285406297,23.79329885485346,90.35994551923454,23.79331432310569,90.3599213691374
Madrasa Road,23.794463516485067,90.35925941287616,23.79443278330598,90.3592766450929,23.794451490459323,90.35938587982315,23.79448329261389,90.35936192996246
null,23.791474255955848,90.35807981004808,23.7914421572019,90.35808705479877,23.791480536145926,90.35815492667393,23.79145489203458,90.35816159947069
null,23.791471639209902,90.3580859108908,23.791444076149347,90.35809048652283,23.791450007441355,90.35815950230597,23.791482455092833,90.35815302016061
null,23.7976993892659,90.3569921901339,23.797669080922972,90.35699608716232,23.797671042051263,90.35707948357089,23.797705807502325,90.3570847445593
Mazar Road,23.799043987932066,90.3538304876846,23.799000184691423,90.35386393820829,23.799066170336772,90.35397134814684,23.79910744644684,90.35393329434004
null,23.798936726124253,90.3539075159548,23.79889376521828,90.35394741107484,23.798969578572184,90.35407262037461,23.79901759367344,90.35404039739302
null,23.788182673885927,90.36025722211491,23.78813768324693,90.36026749133572,23.78813198822823,90.36035057866792,23.78817925687592,90.36035835838067
null,23.788021338669992,90.36159883754652,23.78797483274454,90.36160156633548,23.78796016308675,90.36173766468403,23.788005732656615,90.3617461921495
South Paikpara Main Road,23.787652316965463,90.3603503752459,23.78762153085019,90.36035855049869,23.787613186948533,90.36040508655316,23.78764915203807,90.36038936491315
null,23.78765074466085,90.3600803272547,23.78761608845295,90.36008277071937,23.78764888142409,90.36022286269275,23.78762037389852,90.36023039670874
null,23.787650871133536,90.36008929996154,23.78761572046959,90.36008973897947,23.787620741993578,90.36021024938464,23.787654888351668,90.3602120054561
Tongi Diversion Road,23.8170321794819,90.41173444272164,23.816973535463546,90.4117610515313,23.817070353404134,90.41200718302082,23.817111293540137,90.41196847929763
null,23.816913784927024,90.41180036000014,23.81686565253038,90.41183362101225,23.816954171866755,90.41205495792912,23.816997325021347,90.41200839251218
Tongi Diversion Road,23.817648528422183,90.41286613118172,23.817604747597855,90.41290843910235,23.817777967294717,90.41317685164785,23.817824920579298,90.41313176943737
Tongi Diversion Road,23.81754066259647,90.41296392489983,23.817482922617643,90.41301524926257,23.817637107338996,90.41323303101785,23.817701826797105,90.41318378737259
Tongi Diversion Road,23.817665660045066,90.41287098618898,23.817607920121844,90.41292508484162,23.817778601798665,90.41316644806085,23.817830631112756,90.41312344656774
null,23.79961930762164,90.42318460946643,23.799626116905117,90.42323976890373,23.799425843712328,90.42323145121077,23.799423039885426,90.42328135736835
রোড নং. ৩,23.79942624425904,90.4232165669182,23.79941943496506,90.42328135736835,23.79964334038526,90.4232502754632,23.799643740931288,90.42317760509343
রোড নং. ৩,23.799374173178492,90.42307210172527,23.799368565522414,90.42312682338923,23.7996092939688,90.42310187031046,23.799596476492056,90.42302307111436
NSU Main Campus Road,23.81495812524024,90.42502426105443,23.814953516667586,90.4250622941309,23.815326119238634,90.4249716192466,23.815337179780983,90.42500259983206
NSU Main Campus Road,23.814951212381217,90.42502703167588,23.814951212381217,90.42506002725878,23.81530538071921,90.42501242294452,23.81530630243124,90.4249784198629
